Lon,Lat,Sort,uo,vo,VHM0,VMDR,VSDX,VSDY,THETA,SALT,VVEL,UVEL,Pressure,output,train
166.04,70.09,1,0.004273,-0.031129,0.566991,275.896372,0.016283,-0.009646,3.26502037,29.64250755,-0.02578474,0.055022545,15.16062167,98.31740538,TRUE
166.23,71.01,1,-0.022584,0.003662,0.660442,230.615487,0.010796,-0.007876,1.001105189,29.62249756,-0.042248919,-0.016619285,15.16143286,47.78020835,TRUE
166.55,71.67,1,-0.023194,-0.017701,0.670973,226.13292,0.007345,-0.008761,-0.775020182,29.36933708,-0.022031488,-0.009543482,15.16199475,47.57602495,TRUE
162.55,72.14,1,-0.014649,-0.026856,0.599823,257.903894,0.014779,-0.009823,-1.233250141,27.05027199,-0.087879041,-0.077700585,15.16238449,99.80862787,TRUE
166.88,72.9,1,-0.030519,-0.010987,0.680531,217.708673,0.004602,-0.004602,-1.214624643,29.7899189,-0.005859277,-0.006745493,25.27223091,72.58774013,TRUE
167.49,74.12,1,-0.007935,0.010987,0.715398,220.357876,-0.003894,-0.001858,-1.370365262,30.54891777,-0.000230371,-0.001454648,35.38409908,67.11949047,TRUE
167.83,75.18,1,0.06592,-0.013428,0.702124,214.166195,-0.013805,0.000177,-1.269847631,32.10935211,-0.047891168,-0.054395992,55.6088847,104.0031651,TRUE
168.1,75.85,1,-0.004883,-0.010987,0.709928,195.63777,-0.01005652,-0.00401634,0.111292407,34.12680054,0.000108269,-0.00016346,128.5824627,92.04651952,TRUE
168.5,76.6,1,-0.126957,0.070803,0.8692273,163.79193,-0.01667398,-0.00976507,0.85270375,34.42576981,0.033458091,-0.018943723,196.9653033,278.7172282,TRUE
162.04,77.9,1,-0.070193,0.012207,0.7107277,168.95621,-0.01622742,-0.01148793,0.063133396,34.11818314,0.006281687,-0.004140793,128.5932674,38.37633568,TRUE
160.25,76.52,1,0.03235,-0.057985,0.928407,176.190973,-0.034336,-0.016195,-0.926633775,32.72085953,0.010030752,-0.005805159,65.72494454,84.65066354,TRUE
159.26,75.86,1,-0.068972,0.018311,0.91646,174.61354,-0.025487,-0.020796,-1.305457354,31.04129982,-0.002072142,-0.026393551,45.49853836,107.3752359,TRUE
158.5,75.25,1,-0.061037,0.005493,0.816195,175.231593,-0.012301,-0.022124,-1.277246356,30.21602631,-0.004103345,-0.018757872,35.38598633,100.523338,TRUE
155.66,74.1,1,-0.068972,-0.037233,0.667876,180.332478,0.012301,-0.02823,-1.210447073,28.22379112,-0.004947194,-0.009363899,25.27376091,17.77506497,TRUE
157.34,72.87,1,-0.015259,-0.042116,0.609469,278.603274,0.02292,-0.020265,-1.114901781,23.73101234,-0.011427446,0.002621124,15.16297239,53.3908902,TRUE
153.21,71.9,1,-0.001831,-0.021363,0.589292,271.516814,0.026283,-0.02885,-1.196963549,24.1559124,0.011948415,-0.000253642,15.16218656,31.71614523,TRUE
153.16,73.37,1,-0.054933,0.001221,0.654425,210.950442,0.020265,-0.03177,-1.229720831,25.05952072,0.025654398,0.011736167,15.16336265,95.91070942,TRUE
151.18,73.54,1,-0.057985,0.006714,0.601239,201.433274,0.018319,-0.032478,-1.244463682,25.02647018,-0.002974268,-0.01450253,15.16349302,735.3909583,TRUE
148.5,73.72,1,-0.056764,-0.018311,0.556372,219.697434,0.015664,-0.033717,-1.136657357,22.94667244,0.0020546,-0.022209518,15.16362976,23.41981734,TRUE
114,22,1,-0.109256,-0.020753,0.773717,103.293894,-0.05177,-0.000796,25.6296711,36.34504318,-0.003402241,-0.052309964,106.1946704,9.798575779,TRUE
113.83,22.1,1,-0.108036,-0.011597,0.63646,107.721681,-0.044071,0.000796,25.69011307,36.30677795,0.023560749,0.027321849,87.52575822,6.784651994,TRUE
113.8,22.3,1,-0.053713,-0.015259,0.359558,114.131062,-0.024956,0.001947,25.67860794,36.28834534,0.03940643,0.117920168,85.79733796,15.54605153,TRUE
113.75,22.45,1,-0.020753,0.003662,0.262124,122.722655,-0.015398,0.003274,25.67295265,36.27236939,0.149028197,0.133892864,86.09666331,12.144,TRUE
113.72,22.58,1,-0.007324,0.009156,0.18115,129.745221,-0.007522,0.004071,25.61340141,36.37856674,0.161635816,0.17437017,80.98761822,56.99590176,TRUE
113.6879667,22.70131667,1,-0.013428,0.006104,0.10354,136.32823,-0.002832,0.002655,25.6063118,36.38114166,0.129505798,0.166064456,89.13666443,127.7720136,TRUE
113.59,22.83,1,-0.01475046,0.00819518,0.10354,136.32823,-0.002832,0.002655,25.68123436,36.4446106,0.152372703,0.21980077,79.91813975,58.08859766,TRUE
113.55,22.93,1,-0.01331758,0.00803569,0.2125534,133.56165,-0.0086681,0.0035443,25.68123436,36.4446106,0.152372703,0.21980077,84.45529646,22.87083744,TRUE
113.53,22.99,1,-0.01331758,0.00803569,0.2125534,133.56165,-0.0086681,0.0035443,25.68123436,36.4446106,0.152372703,0.21980077,78.81036441,17.12449835,TRUE
